category_ja,name,region,feas_ja,status,budget,budget_tn_yen,timeline,proponent,tags,lat,lng,link
産業・テクノロジー,キオクシア 北上工場（3D NAND）,東北,高（着工済・計画決定）,増設,兆円規模,1.2,段階増設,キオクシア、Western Digital,半導体|フラッシュメモリ,39.286,141.113,https://www.kioxia.com/ja-jp/top.html
エネルギー・環境,秋田県沖 洋上風力,東北,中（一部運用・ルート調整中）,一部運開,数千億円〜兆円,1.0,順次運開,事業コンソーシアム,洋上風力|再エネ,40.0,139.95,https://www.google.com/search?q=%E7%A7%8B%E7%94%B0%E7%9C%8C%E6%B2%96%20%E6%B4%8B%E4%B8%8A%E9%A2%A8%E5%8A%9B%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
エネルギー・環境,福島水素エネルギー研究フィールド（FH2R）,東北,中（一部運用・ルート調整中）,実証・拡大,数百億円〜,0.2,製造実証,NEDO、東芝 ほか,水素|脱炭素,37.492,141.0,https://www.nedo.go.jp/
産業・テクノロジー,福島国際研究教育機構（F-REI）,東北,高（着工済・計画決定）,整備中,数千億円,0.5,段階整備,F-REI,研究|復興,37.7,140.9,https://www.google.com/search?q=%E7%A6%8F%E5%B3%B6%E5%9B%BD%E9%9A%9B%E7%A0%94%E7%A9%B6%E6%95%99%E8%82%B2%E6%A9%9F%E6%A7%8B%EF%BC%88F-REI%EF%BC%89%20F-REI%20%E5%85%AC%E5%BC%8F
エネルギー・環境,六ヶ所 再処理工場・核燃料サイクル,東北,中（一部運用・ルート調整中）,竣工準備,兆円規模,3.0,段階稼働,日本原燃,原子燃料|サイクル,40.96,141.37,https://www.google.com/search?q=%E5%85%AD%E3%83%B6%E6%89%80%20%E5%86%8D%E5%87%A6%E7%90%86%E5%B7%A5%E5%A0%B4%E3%83%BB%E6%A0%B8%E7%87%83%E6%96%99%E3%82%B5%E3%82%A4%E3%82%AF%E3%83%AB%20%E6%97%A5%E6%9C%AC%E5%8E%9F%E7%87%83%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,次世代放射光施設 NanoTerasu（仙台）,東北,高（着工済・計画決定）,稼働,数百億円,0.4,2024年 稼働,量研機構ほか,放射光|研究,38.26,140.84,https://www.google.com/search?q=%E6%AC%A1%E4%B8%96%E4%BB%A3%E6%94%BE%E5%B0%84%E5%85%89%E6%96%BD%E8%A8%AD%20NanoTerasu%EF%BC%88%E4%BB%99%E5%8F%B0%EF%BC%89%20%E9%87%8F%E7%A0%94%E6%A9%9F%E6%A7%8B%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,国際リニアコライダー（ILC）構想,東北,低（構想段階・長期検討）,構想,兆円規模,0.8,長期検討,研究コミュニティ,加速器|素粒子,39.0,141.4,https://www.google.com/search?q=%E5%9B%BD%E9%9A%9B%E3%83%AA%E3%83%8B%E3%82%A2%E3%82%B3%E3%83%A9%E3%82%A4%E3%83%80%E3%83%BC%EF%BC%88ILC%EF%BC%89%E6%A7%8B%E6%83%B3%20%E7%A0%94%E7%A9%B6%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%20%E5%85%AC%E5%BC%8F
交通・インフラ,奥羽・羽越新幹線 構想,東北,低（構想段階・長期検討）,構想,兆円規模,1.5,長期検討,沿線自治体ほか,新幹線|構想,38.24,140.34,https://www.google.com/search?q=%E5%A5%A5%E7%BE%BD%E3%83%BB%E7%BE%BD%E8%B6%8A%E6%96%B0%E5%B9%B9%E7%B7%9A%20%E6%A7%8B%E6%83%B3%20%E6%B2%BF%E7%B7%9A%E8%87%AA%E6%B2%BB%E4%BD%93%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,秋田港・能代港 洋上風力基地,東北,高（着工済・計画決定）,運用中,数千億円,0.4,基地稼働,事業コンソーシアム,港湾|洋上風力,40.2,140.02,https://www.google.com/search?q=%E7%A7%8B%E7%94%B0%E6%B8%AF%E3%83%BB%E8%83%BD%E4%BB%A3%E6%B8%AF%20%E6%B4%8B%E4%B8%8A%E9%A2%A8%E5%8A%9B%E5%9F%BA%E5%9C%B0%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
観光・地域活性化,仙台 都心再開発（仙台駅周辺）,東北,中（一部運用・ルート調整中）,進行中,数千億円,0.3,継続,仙台市、民間,再開発|仙台,38.26,140.88,https://www.google.com/search?q=%E4%BB%99%E5%8F%B0%20%E9%83%BD%E5%BF%83%E5%86%8D%E9%96%8B%E7%99%BA%EF%BC%88%E4%BB%99%E5%8F%B0%E9%A7%85%E5%91%A8%E8%BE%BA%EF%BC%89%20%E4%BB%99%E5%8F%B0%E5%B8%82%E3%80%81%E6%B0%91%E9%96%93%20%E5%85%AC%E5%BC%8F
交通・インフラ,リニア中央新幹線,関東甲信,高（着工済・計画決定）,建設中,約9兆円,9,2027年以降〜2037年,JR東海、国土交通省,リニア|三大都市圏,35.18,136.9,https://linear-chuo-shinkansen.jr-central.co.jp/
交通・インフラ,羽田空港アクセス線,関東甲信,高（着工済・計画決定）,建設中,"約3,000億円",0.3,2031年度,JR東日本,羽田|空港アクセス,35.549,139.784,https://www.jreast.co.jp/
交通・インフラ,東京メトロ 有楽町線・南北線 延伸,関東甲信,高（着工済・計画決定）,建設中,"約2,690億円",0.27,2030年代,東京メトロ,地下鉄|延伸,35.655,139.795,https://www.tokyometro.jp/
産業・テクノロジー,印西データセンター・クラスター,関東甲信,高（着工済・計画決定）,拡大継続,兆円規模,2.0,継続,国内外クラウド事業者,データセンター|AI,35.832,140.146,https://www.google.com/search?q=%E5%8D%B0%E8%A5%BF%E3%83%87%E3%83%BC%E3%82%BF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%B9%E3%82%BF%E3%83%BC%20%E5%9B%BD%E5%86%85%E5%A4%96%E3%82%AF%E3%83%A9%E3%82%A6%E3%83%89%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
エネルギー・環境,銚子沖 洋上風力,関東甲信,高（着工済・計画決定）,建設・運開,数千億円,0.4,順次運開,事業コンソーシアム,洋上風力|再エネ,35.76,140.92,https://www.google.com/search?q=%E9%8A%9A%E5%AD%90%E6%B2%96%20%E6%B4%8B%E4%B8%8A%E9%A2%A8%E5%8A%9B%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
観光・地域活性化,麻布台ヒルズ,関東甲信,高（着工済・計画決定）,開業済み,"約5,800億円",0.58,2023年 開業,森ビル,再開発|超高層,35.66,139.74,https://www.azabudai-hills.com/
交通・インフラ,品川 グランドターミナル再開発,関東甲信,高（着工済・計画決定）,建設中,兆円規模,1.0,段階開業,JR東日本ほか,再開発|品川,35.628,139.738,https://www.google.com/search?q=%E5%93%81%E5%B7%9D%20%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%89%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%E5%86%8D%E9%96%8B%E7%99%BA%20JR%E6%9D%B1%E6%97%A5%E6%9C%AC%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,渋谷駅周辺 再開発,関東甲信,高（着工済・計画決定）,段階開業,兆円規模,1.0,継続,東急ほか,再開発|渋谷,35.658,139.701,https://www.google.com/search?q=%E6%B8%8B%E8%B0%B7%E9%A7%85%E5%91%A8%E8%BE%BA%20%E5%86%8D%E9%96%8B%E7%99%BA%20%E6%9D%B1%E6%80%A5%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,常盤橋 TOKYO TORCH,関東甲信,高（着工済・計画決定）,建設中,数千億円,0.5,2028年 全体竣工,三菱地所,再開発|超高層,35.685,139.769,https://www.google.com/search?q=%E5%B8%B8%E7%9B%A4%E6%A9%8B%20TOKYO%20TORCH%20%E4%B8%89%E8%8F%B1%E5%9C%B0%E6%89%80%20%E5%85%AC%E5%BC%8F
エネルギー・環境,京浜臨海部 水素・脱炭素拠点,関東甲信,中（一部運用・ルート調整中）,実証〜事業化,数千億円,0.5,2030年代,事業コンソーシアム,水素|脱炭素,35.5,139.7,https://www.google.com/search?q=%E4%BA%AC%E6%B5%9C%E8%87%A8%E6%B5%B7%E9%83%A8%20%E6%B0%B4%E7%B4%A0%E3%83%BB%E8%84%B1%E7%82%AD%E7%B4%A0%E6%8B%A0%E7%82%B9%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
交通・インフラ,北陸新幹線延伸（金沢〜敦賀）,北陸,中（一部運用・ルート調整中）,一部運用中,数千億円,0.6,2024年 敦賀開業,鉄道・運輸機構、JR西日本,新幹線|北陸,35.645,136.066,https://www.jrtt.go.jp/
交通・インフラ,北陸新幹線 小浜・京都ルート（敦賀以西）,北陸,低（構想段階・長期検討）,構想・調整中,約2.1兆円,2.1,未着工,国土交通省ほか,新幹線|未着工,35.3,135.74,https://www.google.com/search?q=%E5%8C%97%E9%99%B8%E6%96%B0%E5%B9%B9%E7%B7%9A%20%E5%B0%8F%E6%B5%9C%E3%83%BB%E4%BA%AC%E9%83%BD%E3%83%AB%E3%83%BC%E3%83%88%EF%BC%88%E6%95%A6%E8%B3%80%E4%BB%A5%E8%A5%BF%EF%BC%89%20%E5%9B%BD%E5%9C%9F%E4%BA%A4%E9%80%9A%E7%9C%81%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,柏崎刈羽 原子力発電所 再稼働,北陸,中（一部運用・ルート調整中）,再稼働手続き,巨大既存資産,1.5,可否を協議,東京電力HD,原子力|電力,37.428,138.602,https://www.tepco.co.jp/
エネルギー・環境,新潟 LNG基地・火力,北陸,中（一部運用・ルート調整中）,運用・更新,数千億円,0.4,継続,電力・ガス事業者,LNG|火力,37.95,139.06,https://www.google.com/search?q=%E6%96%B0%E6%BD%9F%20LNG%E5%9F%BA%E5%9C%B0%E3%83%BB%E7%81%AB%E5%8A%9B%20%E9%9B%BB%E5%8A%9B%E3%83%BB%E3%82%AC%E3%82%B9%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
交通・インフラ,富山 LRT・公共交通網,北陸,高（着工済・計画決定）,運用中,数百億円,0.05,運用中,富山市,LRT|富山,36.7,137.21,https://www.google.com/search?q=%E5%AF%8C%E5%B1%B1%20LRT%E3%83%BB%E5%85%AC%E5%85%B1%E4%BA%A4%E9%80%9A%E7%B6%B2%20%E5%AF%8C%E5%B1%B1%E5%B8%82%20%E5%85%AC%E5%BC%8F
交通・インフラ,富山港・伏木 物流拠点,北陸,中（一部運用・ルート調整中）,整備中,数千億円,0.3,継続,富山県ほか,港湾|物流,36.77,137.06,https://www.google.com/search?q=%E5%AF%8C%E5%B1%B1%E6%B8%AF%E3%83%BB%E4%BC%8F%E6%9C%A8%20%E7%89%A9%E6%B5%81%E6%8B%A0%E7%82%B9%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,金沢港 クルーズ拠点,北陸,中（一部運用・ルート調整中）,整備中,数百億円,0.1,継続,石川県,クルーズ|観光,36.6,136.6,https://www.google.com/search?q=%E9%87%91%E6%B2%A2%E6%B8%AF%20%E3%82%AF%E3%83%AB%E3%83%BC%E3%82%BA%E6%8B%A0%E7%82%B9%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E5%85%AC%E5%BC%8F
観光・地域活性化,福井県立恐竜博物館・観光圏,北陸,高（着工済・計画決定）,拡張済,数百億円,0.05,2023年 拡張,福井県,観光|博物館,36.07,136.5,https://www.google.com/search?q=%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%AB%8B%E6%81%90%E7%AB%9C%E5%8D%9A%E7%89%A9%E9%A4%A8%E3%83%BB%E8%A6%B3%E5%85%89%E5%9C%8F%20%E7%A6%8F%E4%BA%95%E7%9C%8C%20%E5%85%AC%E5%BC%8F
観光・地域活性化,佐渡金山 世界遺産観光,北陸,中（一部運用・ルート調整中）,整備中,数百億円,0.05,継続,新潟県・佐渡市,世界遺産|佐渡,38.03,138.26,https://www.google.com/search?q=%E4%BD%90%E6%B8%A1%E9%87%91%E5%B1%B1%20%E4%B8%96%E7%95%8C%E9%81%BA%E7%94%A3%E8%A6%B3%E5%85%89%20%E6%96%B0%E6%BD%9F%E7%9C%8C%E3%83%BB%E4%BD%90%E6%B8%A1%E5%B8%82%20%E5%85%AC%E5%BC%8F
エネルギー・環境,上越 再エネ・水素拠点,北陸,低（構想段階・長期検討）,構想,数千億円,0.3,長期,事業コンソーシアム,再エネ|水素,37.1,138.2,https://www.google.com/search?q=%E4%B8%8A%E8%B6%8A%20%E5%86%8D%E3%82%A8%E3%83%8D%E3%83%BB%E6%B0%B4%E7%B4%A0%E6%8B%A0%E7%82%B9%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,トヨタ Woven City（裾野）,東海,高（着工済・計画決定）,第1期 開所,数千億円規模,0.5,2024年〜段階稼働,トヨタ自動車,実証都市|モビリティ,35.183,138.91,https://www.woven-city.global/
観光・地域活性化,ジブリパーク（愛知・長久手）,東海,高（着工済・計画決定）,全エリア開業,数百億円規模,0.05,2022〜2024,愛知県、スタジオジブリ,テーマパーク|愛知,35.183,137.08,https://ghibli-park.jp/
交通・インフラ,名古屋駅 リニア新駅・駅前再開発,東海,高（着工済・計画決定）,建設中,兆円規模,1.0,リニア開業に合わせ,JR東海ほか,再開発|リニア,35.17,136.882,https://www.google.com/search?q=%E5%90%8D%E5%8F%A4%E5%B1%8B%E9%A7%85%20%E3%83%AA%E3%83%8B%E3%82%A2%E6%96%B0%E9%A7%85%E3%83%BB%E9%A7%85%E5%89%8D%E5%86%8D%E9%96%8B%E7%99%BA%20JR%E6%9D%B1%E6%B5%B7%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,中部国際空港 第2滑走路,東海,中（一部運用・ルート調整中）,計画,数千億円,0.3,2030年代,中部国際空港,空港|滑走路,34.858,136.812,https://www.google.com/search?q=%E4%B8%AD%E9%83%A8%E5%9B%BD%E9%9A%9B%E7%A9%BA%E6%B8%AF%20%E7%AC%AC2%E6%BB%91%E8%B5%B0%E8%B7%AF%20%E4%B8%AD%E9%83%A8%E5%9B%BD%E9%9A%9B%E7%A9%BA%E6%B8%AF%20%E5%85%AC%E5%BC%8F
エネルギー・環境,四日市コンビナート 脱炭素,東海,中（一部運用・ルート調整中）,転換中,数千億円,0.4,2030年代,事業コンソーシアム,脱炭素|コンビナート,34.96,136.62,https://www.google.com/search?q=%E5%9B%9B%E6%97%A5%E5%B8%82%E3%82%B3%E3%83%B3%E3%83%93%E3%83%8A%E3%83%BC%E3%83%88%20%E8%84%B1%E7%82%AD%E7%B4%A0%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,浜松 次世代モビリティ／光産業,東海,中（一部運用・ルート調整中）,推進中,数千億円,0.3,継続,浜松市、民間,モビリティ|光,34.71,137.73,https://www.google.com/search?q=%E6%B5%9C%E6%9D%BE%20%E6%AC%A1%E4%B8%96%E4%BB%A3%E3%83%A2%E3%83%93%E3%83%AA%E3%83%86%E3%82%A3%EF%BC%8F%E5%85%89%E7%94%A3%E6%A5%AD%20%E6%B5%9C%E6%9D%BE%E5%B8%82%E3%80%81%E6%B0%91%E9%96%93%20%E5%85%AC%E5%BC%8F
観光・地域活性化,愛知国際展示場（Aichi Sky Expo）,東海,高（着工済・計画決定）,運用・拡張,数百億円,0.05,運用中,愛知県,MICE|展示場,34.858,136.812,https://www.google.com/search?q=%E6%84%9B%E7%9F%A5%E5%9B%BD%E9%9A%9B%E5%B1%95%E7%A4%BA%E5%A0%B4%EF%BC%88Aichi%20Sky%20Expo%EF%BC%89%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%85%AC%E5%BC%8F
交通・インフラ,富士山静岡空港 機能強化,東海,中（一部運用・ルート調整中）,運用中,数百億円,0.1,継続,静岡県,空港|静岡,34.8,138.19,https://www.google.com/search?q=%E5%AF%8C%E5%A3%AB%E5%B1%B1%E9%9D%99%E5%B2%A1%E7%A9%BA%E6%B8%AF%20%E6%A9%9F%E8%83%BD%E5%BC%B7%E5%8C%96%20%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E5%85%AC%E5%BC%8F
交通・インフラ,リニア 岐阜県駅（中津川）,東海,高（着工済・計画決定）,建設中,数百億円,0.1,リニア開業に合わせ,JR東海,リニア|岐阜,35.49,137.5,https://www.google.com/search?q=%E3%83%AA%E3%83%8B%E3%82%A2%20%E5%B2%90%E9%98%9C%E7%9C%8C%E9%A7%85%EF%BC%88%E4%B8%AD%E6%B4%A5%E5%B7%9D%EF%BC%89%20JR%E6%9D%B1%E6%B5%B7%20%E5%85%AC%E5%BC%8F
エネルギー・環境,清水港 LNG・脱炭素港湾,東海,中（一部運用・ルート調整中）,整備中,数千億円,0.3,継続,静岡県ほか,LNG|港湾,35.0,138.5,https://www.google.com/search?q=%E6%B8%85%E6%B0%B4%E6%B8%AF%20LNG%E3%83%BB%E8%84%B1%E7%82%AD%E7%B4%A0%E6%B8%AF%E6%B9%BE%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,大阪・夢洲 統合型リゾート（IR）,近畿,高（着工済・計画決定）,計画決定,約1.8兆円,1.8,2030年秋頃,大阪IR株式会社,IR|夢洲,34.65,135.39,https://www.google.com/search?q=%E5%A4%A7%E9%98%AA%E3%83%BB%E5%A4%A2%E6%B4%B2%20%E7%B5%B1%E5%90%88%E5%9E%8B%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%EF%BC%88IR%EF%BC%89%20%E5%A4%A7%E9%98%AAIR%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E5%85%AC%E5%BC%8F
交通・インフラ,なにわ筋線,近畿,高（着工済・計画決定）,建設中,"約3,300億円",0.33,2031年春,JR西日本、南海、大阪市,大阪|新線,34.69,135.498,https://www.westjr.co.jp/
観光・地域活性化,うめきた（グラングリーン大阪）,近畿,高（着工済・計画決定）,段階開業,"約2,700億円",0.27,2024〜2027,開発事業者連合,再開発|大阪,34.703,135.494,https://www.google.com/search?q=%E3%81%86%E3%82%81%E3%81%8D%E3%81%9F%EF%BC%88%E3%82%B0%E3%83%A9%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E5%A4%A7%E9%98%AA%EF%BC%89%20%E9%96%8B%E7%99%BA%E4%BA%8B%E6%A5%AD%E8%80%85%E9%80%A3%E5%90%88%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,中之島 未来医療国際拠点,近畿,高（着工済・計画決定）,開業,数百億円,0.2,2024年 開業,大阪府ほか,再生医療|研究,34.69,135.49,https://www.google.com/search?q=%E4%B8%AD%E4%B9%8B%E5%B3%B6%20%E6%9C%AA%E6%9D%A5%E5%8C%BB%E7%99%82%E5%9B%BD%E9%9A%9B%E6%8B%A0%E7%82%B9%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,夢洲 第2期まちづくり,近畿,中（一部運用・ルート調整中）,構想・整備,数千億円,0.5,万博後,大阪市ほか,再開発|夢洲,34.652,135.388,https://www.google.com/search?q=%E5%A4%A2%E6%B4%B2%20%E7%AC%AC2%E6%9C%9F%E3%81%BE%E3%81%A1%E3%81%A5%E3%81%8F%E3%82%8A%20%E5%A4%A7%E9%98%AA%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,神戸空港 国際化,近畿,中（一部運用・ルート調整中）,運用拡大,数百億円,0.2,2025年〜国際便,神戸市ほか,空港|神戸,34.633,135.224,https://www.google.com/search?q=%E7%A5%9E%E6%88%B8%E7%A9%BA%E6%B8%AF%20%E5%9B%BD%E9%9A%9B%E5%8C%96%20%E7%A5%9E%E6%88%B8%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,神戸・川崎 水素サプライチェーン,近畿,中（一部運用・ルート調整中）,実証〜商用化,数千億円,0.4,2030年代,HySTRA、ENEOS ほか,水素|液化水素,34.68,135.2,https://www.google.com/search?q=%E7%A5%9E%E6%88%B8%E3%83%BB%E5%B7%9D%E5%B4%8E%20%E6%B0%B4%E7%B4%A0%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3%20HySTRA%E3%80%81ENEOS%20%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,京都 リニア新駅 誘致,近畿,低（構想段階・長期検討）,構想,数千億円,0.3,長期検討,京都府・京都市,リニア|京都,34.99,135.76,https://www.google.com/search?q=%E4%BA%AC%E9%83%BD%20%E3%83%AA%E3%83%8B%E3%82%A2%E6%96%B0%E9%A7%85%20%E8%AA%98%E8%87%B4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E3%83%BB%E4%BA%AC%E9%83%BD%E5%B8%82%20%E5%85%AC%E5%BC%8F
